police_station,missing_reported,latitude,longitude,place_name,maps_url,status
RAJOURI GARDEN,2847,28.6514951,77.1200363,RAJOURI GARDEN,https://www.google.com/maps/search/?api=1&query=RAJOURI+GARDEN+Police+Station+Delhi,VERIFIED
NAND NAGARI,2842,28.6972212,77.3070259,NAND NAGARI,https://www.google.com/maps/search/?api=1&query=NAND+NAGARI+Police+Station+Delhi,VERIFIED
BHARAT NAGAR,2811,28.8460721,77.0890115,BHARAT NAGAR,https://www.google.com/maps/search/?api=1&query=BHARAT+NAGAR+Police+Station+Delhi,VERIFIED
SWARUP NAGAR,2803,28.7587772,77.160709,SWARUP NAGAR,https://www.google.com/maps/search/?api=1&query=SWARUP+NAGAR+Police+Station+Delhi,VERIFIED
FATEHPUR BERI,2795,28.4655076,77.1507908,FATEHPUR BERI,https://www.google.com/maps/search/?api=1&query=FATEHPUR+BERI+Police+Station+Delhi,VERIFIED
DWARKA NORTH,2783,28.5909231,77.0283561,DWARKA NORTH,https://www.google.com/maps/search/?api=1&query=DWARKA+NORTH+Police+Station+Delhi,VERIFIED
OKHLA INDL. AREA,2780,28.5266897,77.2748879,OKHLA INDL. AREA,https://www.google.com/maps/search/?api=1&query=OKHLA+INDL.+AREA+Police+Station+Delhi,VERIFIED
G.T.B. ENCLAVE,2773,28.6855831,77.3157174,G.T.B. ENCLAVE,https://www.google.com/maps/search/?api=1&query=G.T.B.+ENCLAVE+Police+Station+Delhi,VERIFIED
JAMIA NAGAR,2772,28.5612157,77.2920031,JAMIA NAGAR,https://www.google.com/maps/search/?api=1&query=JAMIA+NAGAR+Police+Station+Delhi,VERIFIED
JYOTI NAGAR,2754,28.6944436,77.2982537,JYOTI NAGAR,https://www.google.com/maps/search/?api=1&query=JYOTI+NAGAR+Police+Station+Delhi,VERIFIED
FARSH BAZAR,2736,28.6649634,77.2862913,FARSH BAZAR,https://www.google.com/maps/search/?api=1&query=FARSH+BAZAR+Police+Station+Delhi,VERIFIED
GANDHI NAGAR,2733,28.6599344,77.2671545,GANDHI NAGAR,https://www.google.com/maps/search/?api=1&query=GANDHI+NAGAR+Police+Station+Delhi,VERIFIED
PREM NAGAR,2723,28.7011352,77.0504511,PREM NAGAR,https://www.google.com/maps/search/?api=1&query=PREM+NAGAR+Police+Station+Delhi,VERIFIED
MUNDKA,2661,28.6705328,76.9609521,MUNDKA,https://www.google.com/maps/search/?api=1&query=MUNDKA+Police+Station+Delhi,VERIFIED
SAMAIPUR BADLI,2590,28.7252025,77.1413917,SAMAIPUR BADLI,https://www.google.com/maps/search/?api=1&query=SAMAIPUR+BADLI+Police+Station+Delhi,VERIFIED
SARITA VIHAR,2573,28.5401981,77.2815046,SARITA VIHAR,https://www.google.com/maps/search/?api=1&query=SARITA+VIHAR+Police+Station+Delhi,VERIFIED
ADARSH NAGAR,2483,28.7099635,77.1752218,ADARSH NAGAR,https://www.google.com/maps/search/?api=1&query=ADARSH+NAGAR+Police+Station+Delhi,VERIFIED
K.N. KATJU MARG,2467,28.7308639,77.1216619,K.N. KATJU MARG,https://www.google.com/maps/search/?api=1&query=K.N.+KATJU+MARG+Police+Station+Delhi,VERIFIED
HARI NAGAR,2463,28.6232487,77.109082,HARI NAGAR,https://www.google.com/maps/search/?api=1&query=HARI+NAGAR+Police+Station+Delhi,VERIFIED
DAYAL PUR,2455,28.7020515,77.2863039,DAYAL PUR,https://www.google.com/maps/search/?api=1&query=DAYAL+PUR+Police+Station+Delhi,VERIFIED
JAGAT PURI,2431,28.6437715,77.2840574,JAGAT PURI,https://www.google.com/maps/search/?api=1&query=JAGAT+PURI+Police+Station+Delhi,VERIFIED
WAZIRABAD,2407,28.7072433,77.2243816,WAZIRABAD,https://www.google.com/maps/search/?api=1&query=WAZIRABAD+Police+Station+Delhi,VERIFIED
PATEL NAGAR,2391,28.6523746,77.1580838,PATEL NAGAR,https://www.google.com/maps/search/?api=1&query=PATEL+NAGAR+Police+Station+Delhi,VERIFIED
MOTI NAGAR,2315,28.6603412,77.1466663,MOTI NAGAR,https://www.google.com/maps/search/?api=1&query=MOTI+NAGAR+Police+Station+Delhi,VERIFIED
ASHOK VIHAR,2304,28.6926439,77.1734595,ASHOK VIHAR,https://www.google.com/maps/search/?api=1&query=ASHOK+VIHAR+Police+Station+Delhi,VERIFIED
SHAKAR PUR,2260,28.6374948,77.2707281,SHAKAR PUR,https://www.google.com/maps/search/?api=1&query=SHAKAR+PUR+Police+Station+Delhi,VERIFIED
MAHENDRA PARK,2253,28.7256591,77.164016,MAHENDRA PARK,https://www.google.com/maps/search/?api=1&query=MAHENDRA+PARK+Police+Station+Delhi,VERIFIED
SONIA VIHAR,2244,28.7459491,77.2457734,SONIA VIHAR,https://www.google.com/maps/search/?api=1&query=SONIA+VIHAR+Police+Station+Delhi,VERIFIED
GEETA COLONY,2210,28.6555174,77.2762928,GEETA COLONY,https://www.google.com/maps/search/?api=1&query=GEETA+COLONY+Police+Station+Delhi,VERIFIED
AMAR COLONY,2179,28.5593509,77.2406406,AMAR COLONY,https://www.google.com/maps/search/?api=1&query=AMAR+COLONY+Police+Station+Delhi,VERIFIED
ANAND PARVAT,2159,28.6599834,77.1728601,ANAND PARVAT,https://www.google.com/maps/search/?api=1&query=ANAND+PARVAT+Police+Station+Delhi,VERIFIED
SADAR BAZAR,2127,28.6265487,77.1675235,SADAR BAZAR,https://www.google.com/maps/search/?api=1&query=SADAR+BAZAR+Police+Station+Delhi,VERIFIED
GHAZIPUR,2121,28.6244964,77.332474,GHAZIPUR,https://www.google.com/maps/search/?api=1&query=GHAZIPUR+Police+Station+Delhi,VERIFIED
RAJ PARK,2033,28.6942598,77.0822069,RAJ PARK,https://www.google.com/maps/search/?api=1&query=RAJ+PARK+Police+Station+Delhi,VERIFIED
SUBZI MANDI,2013,28.6690213,77.2077232,SUBZI MANDI,https://www.google.com/maps/search/?api=1&query=SUBZI+MANDI+Police+Station+Delhi,VERIFIED
BABA HARI DASS NAGAR,2013,28.6389897,76.9611102,BABA HARI DASS NAGAR,https://www.google.com/maps/search/?api=1&query=BABA+HARI+DASS+NAGAR+Police+Station+Delhi,VERIFIED
VASANT KUNJ NORTH,1984,28.5351471,77.1519798,VASANT KUNJ NORTH,https://www.google.com/maps/search/?api=1&query=VASANT+KUNJ+NORTH+Police+Station+Delhi,VERIFIED
PUL PRAHLAD PUR,1983,28.5019693,77.2906767,PUL PRAHLAD PUR,https://www.google.com/maps/search/?api=1&query=PUL+PRAHLAD+PUR+Police+Station+Delhi,VERIFIED
TIMAR PUR,1978,28.7068541,77.224267,TIMAR PUR,https://www.google.com/maps/search/?api=1&query=TIMAR+PUR+Police+Station+Delhi,VERIFIED
MADHU VIHAR,1945,28.624833,77.3063944,MADHU VIHAR,https://www.google.com/maps/search/?api=1&query=MADHU+VIHAR+Police+Station+Delhi,VERIFIED
SEELAM PUR,1915,28.6744173,77.2675753,SEELAM PUR,https://www.google.com/maps/search/?api=1&query=SEELAM+PUR+Police+Station+Delhi,VERIFIED
KIRTI NAGAR,1907,28.6402297,77.1352535,KIRTI NAGAR,https://www.google.com/maps/search/?api=1&query=KIRTI+NAGAR+Police+Station+Delhi,VERIFIED
KHYALA,1888,28.6517881,77.0964184,KHYALA,https://www.google.com/maps/search/?api=1&query=KHYALA+Police+Station+Delhi,VERIFIED
SEEMA PURI,1870,28.6843727,77.3217173,SEEMA PURI,https://www.google.com/maps/search/?api=1&query=SEEMA+PURI+Police+Station+Delhi,VERIFIED
KIRSHNA NAGAR,1864,28.6672573,77.2802151,KIRSHNA NAGAR,https://www.google.com/maps/search/?api=1&query=KIRSHNA+NAGAR+Police+Station+Delhi,VERIFIED
MAYUR VIHAR,1847,28.6071444,77.304062,MAYUR VIHAR,https://www.google.com/maps/search/?api=1&query=MAYUR+VIHAR+Police+Station+Delhi,VERIFIED
KESHAV PURAM,1845,28.6839467,77.1596431,KESHAV PURAM,https://www.google.com/maps/search/?api=1&query=KESHAV+PURAM+Police+Station+Delhi,VERIFIED
VIVEK VIHAR,1842,28.6669239,77.3064537,VIVEK VIHAR,https://www.google.com/maps/search/?api=1&query=VIVEK+VIHAR+Police+Station+Delhi,VERIFIED
MODEL TOWN,1829,28.7025164,77.1940641,MODEL TOWN,https://www.google.com/maps/search/?api=1&query=MODEL+TOWN+Police+Station+Delhi,VERIFIED
SULTANPURI,1810,28.702765,77.0789265,SULTANPURI,https://www.google.com/maps/search/?api=1&query=SULTANPURI+Police+Station+Delhi,VERIFIED
NABI KARIM,1803,28.649989,77.2174537,NABI KARIM,https://www.google.com/maps/search/?api=1&query=NABI+KARIM+Police+Station+Delhi,VERIFIED
PANDAV NAGAR,1790,28.6202041,77.3028104,PANDAV NAGAR,https://www.google.com/maps/search/?api=1&query=PANDAV+NAGAR+Police+Station+Delhi,VERIFIED
MANSAROVAR PARK,1783,28.6795099,77.3018622,MANSAROVAR PARK,https://www.google.com/maps/search/?api=1&query=MANSAROVAR+PARK+Police+Station+Delhi,VERIFIED
NEW USMANPUR,1723,28.6727083,77.2617342,NEW USMANPUR,https://www.google.com/maps/search/?api=1&query=NEW+USMANPUR+Police+Station+Delhi,VERIFIED
VASANT VIHAR,1722,28.5577146,77.1687209,VASANT VIHAR,https://www.google.com/maps/search/?api=1&query=VASANT+VIHAR+Police+Station+Delhi,VERIFIED
MOHAN GARDEN,1714,28.6293835,77.0343079,MOHAN GARDEN,https://www.google.com/maps/search/?api=1&query=MOHAN+GARDEN+Police+Station+Delhi,VERIFIED
DELHI CANTT,1700,28.5989957,77.1240885,DELHI CANTT,https://www.google.com/maps/search/?api=1&query=DELHI+CANTT+Police+Station+Delhi,VERIFIED
HAUZ KHAS,1698,28.5492315,77.2090582,HAUZ KHAS,https://www.google.com/maps/search/?api=1&query=HAUZ+KHAS+Police+Station+Delhi,VERIFIED
ZAFRABAD,1666,28.68865,77.2733796,ZAFRABAD,https://www.google.com/maps/search/?api=1&query=ZAFRABAD+Police+Station+Delhi,VERIFIED
BUDH VIHAR,1649,28.7171058,77.1080165,BUDH VIHAR,https://www.google.com/maps/search/?api=1&query=BUDH+VIHAR+Police+Station+Delhi,VERIFIED
SAFDARJUNG ENCLAVE,1642,28.5651644,77.1998218,SAFDARJUNG ENCLAVE,https://www.google.com/maps/search/?api=1&query=SAFDARJUNG+ENCLAVE+Police+Station+Delhi,VERIFIED
INDER PURI,1613,28.6310982,77.1452111,INDER PURI,https://www.google.com/maps/search/?api=1&query=INDER+PURI+Police+Station+Delhi,VERIFIED
NAND NAGRI,1576,28.6972212,77.3070259,NAND NAGRI,https://www.google.com/maps/search/?api=1&query=NAND+NAGRI+Police+Station+Delhi,VERIFIED
SWAROOP NAGAR,1573,28.7584515,77.1561361,SWAROOP NAGAR,https://www.google.com/maps/search/?api=1&query=SWAROOP+NAGAR+Police+Station+Delhi,VERIFIED
KALYANPURI,1572,28.6133349,77.3172558,KALYANPURI,https://www.google.com/maps/search/?api=1&query=KALYANPURI+Police+Station+Delhi,VERIFIED
SUNLIGHT COLONY,1548,28.5781451,77.2603588,SUNLIGHT COLONY,https://www.google.com/maps/search/?api=1&query=SUNLIGHT+COLONY+Police+Station+Delhi,VERIFIED
SOUTH ROHINI,1539,28.7024649,77.1153212,SOUTH ROHINI,https://www.google.com/maps/search/?api=1&query=SOUTH+ROHINI+Police+Station+Delhi,VERIFIED
NEW FRIENDS COLONY,1526,28.5623339,77.2673778,NEW FRIENDS COLONY,https://www.google.com/maps/search/?api=1&query=NEW+FRIENDS+COLONY+Police+Station+Delhi,VERIFIED
MUKHERJI NAGAR,1511,28.6994813,77.2070915,MUKHERJI NAGAR,https://www.google.com/maps/search/?api=1&query=MUKHERJI+NAGAR+Police+Station+Delhi,VERIFIED
CHHAWALA,1497,28.5868886,76.9949589,CHHAWALA,https://www.google.com/maps/search/?api=1&query=CHHAWALA+Police+Station+Delhi,VERIFIED
PARSAD NAGAR,1496,28.6478823,77.1807615,PARSAD NAGAR,https://www.google.com/maps/search/?api=1&query=PARSAD+NAGAR+Police+Station+Delhi,VERIFIED
NARAINA,1487,28.6330924,77.137849,NARAINA,https://www.google.com/maps/search/?api=1&query=NARAINA+Police+Station+Delhi,VERIFIED
DWARKA SOUTH,1484,28.5781133,77.0667794,DWARKA SOUTH,https://www.google.com/maps/search/?api=1&query=DWARKA+SOUTH+Police+Station+Delhi,VERIFIED
PRASHANT VIHAR,1483,28.7179859,77.127254,PRASHANT VIHAR,https://www.google.com/maps/search/?api=1&query=PRASHANT+VIHAR+Police+Station+Delhi,VERIFIED
NORTH ROHINI,1473,28.7087886,77.1179824,NORTH ROHINI,https://www.google.com/maps/search/?api=1&query=NORTH+ROHINI+Police+Station+Delhi,VERIFIED
ANAND VIHAR,1472,28.6541672,77.2934096,ANAND VIHAR,https://www.google.com/maps/search/?api=1&query=ANAND+VIHAR+Police+Station+Delhi,VERIFIED
LAJPAT NAGAR,1401,28.5680581,77.2409593,LAJPAT NAGAR,https://www.google.com/maps/search/?api=1&query=LAJPAT+NAGAR+Police+Station+Delhi,VERIFIED
R K PURAM,1380,28.5653906,77.179925,R K PURAM,https://www.google.com/maps/search/?api=1&query=R+K+PURAM+Police+Station+Delhi,VERIFIED
RANI BAGH,1362,28.6977825,77.119464,RANI BAGH,https://www.google.com/maps/search/?api=1&query=RANI+BAGH+Police+Station+Delhi,VERIFIED
TIGRI,1348,28.5004574,77.2342164,TIGRI,https://www.google.com/maps/search/?api=1&query=TIGRI+Police+Station+Delhi,VERIFIED
NAJAF GARH,1345,28.609976,76.9828648,NAJAF GARH,https://www.google.com/maps/search/?api=1&query=NAJAF+GARH+Police+Station+Delhi,VERIFIED
PAHAR GANJ,1254,28.6455835,77.2089033,PAHAR GANJ,https://www.google.com/maps/search/?api=1&query=PAHAR+GANJ+Police+Station+Delhi,VERIFIED
KOTLA MUBARKPUR,1240,28.5759773,77.2251948,KOTLA MUBARKPUR,https://www.google.com/maps/search/?api=1&query=KOTLA+MUBARKPUR+Police+Station+Delhi,VERIFIED
RANJIT NAGAR,1234,28.6474433,77.1588012,RANJIT NAGAR,https://www.google.com/maps/search/?api=1&query=RANJIT+NAGAR+Police+Station+Delhi,VERIFIED
DWARKA,1230,,,,https://www.google.com/maps/search/?api=1&query=DWARKA+Police+Station+Delhi,
SHAHADRA,1214,28.6739822,77.279896,SHAHADRA,https://www.google.com/maps/search/?api=1&query=SHAHADRA+Police+Station+Delhi,VERIFIED
N.D.L.S.,1179,28.7002806,77.167691,N.D.L.S.,https://www.google.com/maps/search/?api=1&query=N.D.L.S.+Police+Station+Delhi,VERIFIED
KALKAJI,1168,28.5473406,77.2562221,KALKAJI,https://www.google.com/maps/search/?api=1&query=KALKAJI+Police+Station+Delhi,VERIFIED
MAURYA ENCLAVE,1160,28.7002106,77.1460739,MAURYA ENCLAVE,https://www.google.com/maps/search/?api=1&query=MAURYA+ENCLAVE+Police+Station+Delhi,VERIFIED
ANAND PARBAT,1146,28.6599834,77.1728601,ANAND PARBAT,https://www.google.com/maps/search/?api=1&query=ANAND+PARBAT+Police+Station+Delhi,VERIFIED
BADARPUR,1137,28.4937601,77.3038474,BADARPUR,https://www.google.com/maps/search/?api=1&query=BADARPUR+Police+Station+Delhi,VERIFIED
JANAK PURI,1126,28.62842,77.0819094,JANAK PURI,https://www.google.com/maps/search/?api=1&query=JANAK+PURI+Police+Station+Delhi,VERIFIED
SEEMAPURI,1122,28.6843727,77.3217173,SEEMAPURI,https://www.google.com/maps/search/?api=1&query=SEEMAPURI+Police+Station+Delhi,VERIFIED
MAIDAN GARHI,1119,28.4587131,77.2024138,MAIDAN GARHI,https://www.google.com/maps/search/?api=1&query=MAIDAN+GARHI+Police+Station+Delhi,VERIFIED
VIKAS PURI,1116,28.6300426,77.0682778,VIKAS PURI,https://www.google.com/maps/search/?api=1&query=VIKAS+PURI+Police+Station+Delhi,VERIFIED
JAFRABAD,1103,28.6790219,77.272911,JAFRABAD,https://www.google.com/maps/search/?api=1&query=JAFRABAD+Police+Station+Delhi,VERIFIED
MANDAWLI FAZAL PUR,1065,28.624833,77.3063944,MANDAWLI FAZAL PUR,https://www.google.com/maps/search/?api=1&query=MANDAWLI+FAZAL+PUR+Police+Station+Delhi,VERIFIED
KALINDI KUNJ,1050,28.5306364,77.3186911,KALINDI KUNJ,https://www.google.com/maps/search/?api=1&query=KALINDI+KUNJ+Police+Station+Delhi,VERIFIED
KOTWALI,1048,28.6586456,77.231158,KOTWALI,https://www.google.com/maps/search/?api=1&query=KOTWALI+Police+Station+Delhi,VERIFIED
OKHLA INDUSTRIAL AREA,1039,28.5266897,77.2748879,OKHLA INDUSTRIAL AREA,https://www.google.com/maps/search/?api=1&query=OKHLA+INDUSTRIAL+AREA+Police+Station+Delhi,VERIFIED
KALANDI KUNJ,1038,28.5306364,77.3186911,KALANDI KUNJ,https://www.google.com/maps/search/?api=1&query=KALANDI+KUNJ+Police+Station+Delhi,VERIFIED
BABA HARIDAS NAGAR,1038,28.6389897,76.9611102,BABA HARIDAS NAGAR,https://www.google.com/maps/search/?api=1&query=BABA+HARIDAS+NAGAR+Police+Station+Delhi,VERIFIED
PASCHIM VIHAR WEST,992,28.6739588,77.0943709,PASCHIM VIHAR WEST,https://www.google.com/maps/search/?api=1&query=PASCHIM+VIHAR+WEST+Police+Station+Delhi,VERIFIED
LAXMI NAGAR,981,28.6373138,77.2705921,LAXMI NAGAR,https://www.google.com/maps/search/?api=1&query=LAXMI+NAGAR+Police+Station+Delhi,VERIFIED
SAROJNI NAGAR,973,28.5744866,77.1994036,SAROJNI NAGAR,https://www.google.com/maps/search/?api=1&query=SAROJNI+NAGAR+Police+Station+Delhi,VERIFIED
HAUZ QAZI,952,28.6499783,77.2257523,HAUZ QAZI,https://www.google.com/maps/search/?api=1&query=HAUZ+QAZI+Police+Station+Delhi,VERIFIED
GULABI BAGH,951,28.6697924,77.1923504,GULABI BAGH,https://www.google.com/maps/search/?api=1&query=GULABI+BAGH+Police+Station+Delhi,VERIFIED
MANDIR MARG,915,28.6382258,77.2027845,MANDIR MARG,https://www.google.com/maps/search/?api=1&query=MANDIR+MARG+Police+Station+Delhi,VERIFIED
KAROL BAGH,905,28.6523644,77.19293,KAROL BAGH,https://www.google.com/maps/search/?api=1&query=KAROL+BAGH+Police+Station+Delhi,VERIFIED
PREET VIHAR,905,28.6392927,77.2953898,PREET VIHAR,https://www.google.com/maps/search/?api=1&query=PREET+VIHAR+Police+Station+Delhi,VERIFIED
CHANDANI MAHAL,904,28.6430044,77.2346531,CHANDANI MAHAL,https://www.google.com/maps/search/?api=1&query=CHANDANI+MAHAL+Police+Station+Delhi,VERIFIED
HAZRAT NIZAMUDDIN,899,28.5901331,77.2486742,HAZRAT NIZAMUDDIN,https://www.google.com/maps/search/?api=1&query=HAZRAT+NIZAMUDDIN+Police+Station+Delhi,VERIFIED
MAYUR VIHAR PH-I,898,28.612215,77.3034319,MAYUR VIHAR PH-I,https://www.google.com/maps/search/?api=1&query=MAYUR+VIHAR+PH-I+Police+Station+Delhi,VERIFIED
KRISHNA NAGAR,888,28.6672573,77.2802151,KRISHNA NAGAR,https://www.google.com/maps/search/?api=1&query=KRISHNA+NAGAR+Police+Station+Delhi,VERIFIED
